# {"t_start": 1589491546.937933, "env_id": "Walker2DBulletEnv-v0"} 
r,l,t
20.24372,16,21.874043
15.283183,10,21.903626
16.522329,10,21.933387
15.024025,9,21.961242
16.751611,12,21.997039
18.530983,13,22.03922
16.638361,11,22.076972
15.497101,10,22.109995
16.818987,11,22.142854
16.307356,10,22.175826
14.799184,10,22.213769
15.330673,11,22.248016
16.986842,13,22.287546
21.28858,14,22.330407
18.921129,12,22.367233
18.282683,13,22.406248
14.100538,9,22.433259
15.290016,8,22.456464
15.559066,10,22.48719
19.581959,16,22.534846
18.110074,11,22.568222
15.022788,9,22.594397
18.692468,13,22.635034
20.077378,15,22.687666
16.064639,11,22.723422
23.594947,18,22.785915
15.653857,9,22.813802
18.048917,13,22.854866
15.217916,11,22.888462
16.192171,12,22.924626
16.960498,11,22.957711
17.570818,11,22.991569
16.500082,9,23.019746
18.099602,14,23.063369
16.876671,13,23.102601
20.19924,14,23.144383
17.44099,12,23.180704
17.968976,11,23.221736
17.529857,13,23.261575
17.377146,10,23.292162
15.740319,9,23.321959
17.049133,11,23.355407
13.919328,8,23.380384
16.712579,12,23.416859
20.548676,13,23.456569
17.19239,10,23.487025
17.912113,12,23.52404
17.915531,12,23.560123
16.666877,9,23.587083
16.797436,12,23.624283
17.285089,11,23.660595
17.986206,14,23.71007
19.619315,15,23.75526
22.57188,20,23.81756
15.627503,10,23.848661
19.00515,12,23.886659
18.664026,16,23.934129
18.930624,13,23.975071
16.124216,11,24.011027
13.257936,7,24.032227
21.520609,15,24.077069
17.341828,11,24.111085
14.530291,11,24.144345
13.979162,8,24.172681
14.691446,8,24.199818
16.605202,12,24.243142
19.011536,14,24.284924
15.354959,13,24.324755
19.89548,15,24.369631
16.730908,11,24.404012
20.026683,15,24.44827
17.266568,11,24.481782
14.620297,8,24.505637
17.102965,12,24.54229
17.206408,10,24.572725
15.627529,11,24.606249
18.360945,12,24.64282
21.041519,15,24.698595
16.166148,11,24.732018
18.625783,13,24.771056
17.919208,15,24.816739
17.525607,12,24.853605
18.709761,16,24.901873
14.358636,9,24.928661
16.488138,13,24.972002
16.275242,10,25.015019
17.821057,10,25.048251
15.949731,9,25.075265
13.798041,7,25.096302
16.629955,11,25.130102
14.375476,11,25.164004
13.772373,9,25.191067
20.668614,18,25.251039
17.65719,12,25.287693
20.104809,15,25.333059
21.098062,15,25.378944
20.184855,16,25.438269
16.334853,10,25.467913
17.106256,13,25.508398
20.1711,16,25.557219
17.764465,14,25.599487
15.197852,10,25.630317
14.390419,9,25.657114
18.67979,13,25.696186
18.249299,13,25.743644
14.7157,10,25.774216
14.459904,8,25.7986
15.267972,8,25.82218
19.921831,13,25.861645
22.62508,18,25.91597
16.416289,10,25.946152
15.14934,10,25.977208
15.552675,9,26.006341
17.90311,11,26.052005
17.376236,12,26.091176
16.068991,10,26.125633
15.26557,10,26.155966
17.427909,10,26.18689
16.403131,10,26.216412
16.808286,11,26.25411
18.061864,11,26.288362
16.322716,10,26.318589
17.650226,12,26.354172
18.806375,15,26.400172
16.351846,10,26.430042
20.863472,14,26.472997
20.733542,17,26.525244
16.296503,10,26.55581
16.363286,9,26.582676
14.794361,10,26.615665
18.298689,12,26.652161
16.765776,10,26.682043
11.420739,6,26.700181
14.728504,9,26.731985
19.626963,12,26.771857
20.449716,14,26.815114
19.069617,15,26.863102
20.016636,15,26.911959
17.911438,13,26.950248
15.994304,11,26.983846
16.878649,11,27.018228
14.790823,11,27.056162
16.099571,10,27.092286
21.444905,15,27.138594
19.60946,13,27.177642
17.736742,11,27.211029
18.029151,10,27.245472
17.221266,12,27.289569
16.974417,11,27.325283
17.448281,11,27.358528
20.101656,14,27.401597
13.680264,8,27.425166
15.524126,11,27.458804
17.457247,12,27.495953
14.146826,11,27.529223
15.996796,10,27.560369
15.3837,8,27.584494
18.252683,12,27.621923
18.924894,19,27.678777
18.102465,11,27.712868
16.123619,12,27.75426
22.277886,16,27.805357
17.884416,12,27.84228
14.612781,11,27.87489
15.54317,10,27.906067
15.960659,10,27.93585
14.554091,10,27.966714
16.974152,12,28.003055
18.884784,14,28.047252
17.62859,12,28.083967
19.598964,13,28.125703
14.434148,9,28.153293
17.752415,11,28.186618
17.814799,11,28.219857
16.636206,12,28.258475
17.713069,11,28.294406
14.784385,9,28.322228
18.477828,11,28.357334
17.956095,13,28.397805
18.537296,13,28.438801
16.178248,10,28.468525
18.344268,13,28.507916
17.429533,12,28.543494
12.686202,7,28.565273
17.693696,11,28.599836
17.796192,10,28.631471
17.549536,11,28.664953
16.770164,11,28.698267
15.599181,10,28.729031
19.876183,13,28.77511
15.298094,11,28.813767
15.659863,9,28.84184
18.474052,12,28.877858
16.895896,11,28.911511
14.16303,9,28.939666
13.267402,8,28.96413
14.900417,8,28.988927
16.468789,12,29.026774
20.384741,16,29.074584
12.820985,8,29.099507
18.896123,13,29.13961
18.006246,12,29.176418
15.161185,9,29.205192
16.717879,12,29.241728
16.497118,10,29.275865
18.499841,13,29.317721
15.276378,9,29.34472
16.28469,9,29.379772
17.522744,12,29.419252
12.709063,7,29.440498
18.522596,13,29.48184
18.005817,14,29.526105
17.163943,11,29.559729
15.48113,9,29.58743
14.87139,9,29.616426
18.938805,13,29.657191
18.115308,14,29.701561
18.115681,14,29.750817
20.656264,16,29.80673
21.531577,18,29.861405
22.12597,18,29.922273
15.851929,12,29.966019
15.584194,10,29.998842
15.241473,10,30.031667
16.403482,11,30.065026
17.986958,15,30.125209
18.719632,12,30.167193
15.667696,11,30.200794
17.728755,12,30.237507
15.660953,12,30.275931
15.051428,11,30.315234
16.079146,10,30.345254
17.461855,14,30.387505
15.194669,9,30.414399
13.555264,9,30.44187
16.166521,10,30.477283
19.02119,12,30.518494
13.477889,9,30.546403
15.55378,10,30.578033
17.486051,11,30.612462
19.479582,13,30.652695
16.075656,11,30.686139
18.63766,13,30.730017
19.2892,14,30.774288
16.148514,10,30.809108
23.549113,16,30.863936
18.357378,12,30.900974
15.296001,8,30.925034
17.481841,12,30.961194
16.866391,11,30.994163
16.214339,12,31.031104
15.822385,10,31.062096
18.469727,13,31.103644
15.94562,10,31.135813
17.771259,12,31.173519
17.558637,13,31.215373
18.751379,14,31.257149
13.659459,9,31.284837
15.375252,10,31.321112
17.760248,12,31.359118
19.205012,13,31.399295
17.201664,11,31.433157
19.679913,13,31.472052
18.133871,14,31.515008
16.635152,11,31.549551
18.372767,11,31.583125
19.320728,13,31.624503
17.547813,12,31.663024
15.439014,11,31.70058
17.155658,12,31.743109
21.459502,17,31.801612
18.095384,12,31.845474
15.34861,10,31.8772
14.670794,9,31.905142
17.399175,12,31.940732
17.832648,12,31.977259
13.934327,8,32.004523
17.172039,12,32.049475
15.527101,9,32.083431
14.450477,8,32.110961
14.057528,8,32.136636
22.141173,18,32.193412
14.443923,9,32.225162
15.466127,9,32.256228
15.553884,10,32.291833
18.303623,15,32.34317
15.009232,10,32.373934
17.13068,13,32.417747
14.895723,8,32.442836
21.554186,16,32.491617
21.070789,14,32.535158
15.299203,9,32.563659
19.397723,12,32.600856
14.502713,9,32.629292
15.450523,10,32.659459
18.783017,13,32.699364
15.66388,10,32.730011
15.683881,11,32.763103
13.173082,9,32.791138
17.467022,15,32.83741
15.973978,10,32.876216
16.673146,11,32.91835
16.140938,12,32.958701
19.4993,16,33.011111
15.415882,10,33.045362
18.680607,13,33.09062
14.433389,10,33.122498
18.90684,12,33.158857
19.147967,13,33.199212
15.456699,11,33.23156
13.997356,7,33.254043
19.536438,12,33.290475
16.363357,10,33.324928
14.833189,8,33.351163
18.763958,13,33.391314
18.667741,12,33.428401
17.611017,12,33.464782
17.293082,12,33.502135
17.845012,11,33.535303
12.699438,8,33.559518
17.93265,12,33.596347
15.553611,9,33.625184
16.868169,11,33.6587
15.349786,9,33.68635
17.517963,11,33.720353
15.173726,10,33.749402
20.140283,15,33.794562
17.186665,11,33.82789
16.257128,12,33.863564
15.284221,10,33.902798
15.203847,11,33.936546
14.751551,8,33.960475
17.094365,13,33.999313
16.900456,10,34.031137
13.857868,8,34.055516
17.958639,13,34.09583
16.549687,14,34.13842
14.956932,9,34.165123
19.192163,13,34.204979
19.366288,13,34.243109
15.085373,10,34.272786
15.886981,14,34.315303
15.885232,9,34.348602
19.19647,14,34.390183
15.224219,9,34.417092
17.746356,12,34.453036
19.104959,14,34.494283
16.131831,11,34.52816
17.583075,13,34.566375
12.512642,7,34.588173
16.530152,12,34.626402
15.759123,9,34.652822
17.568973,14,34.694485
15.982118,9,34.721687
19.92329,16,34.768125
17.743605,12,34.803873
18.699607,12,34.84025
15.9037,9,34.867122
16.73044,12,34.909867
19.588569,14,34.952028
18.702235,14,34.993031
17.536685,12,35.028861
16.042044,13,35.067842
20.23385,15,35.114095
22.149758,15,35.158852
17.320774,11,35.193548
18.819327,12,35.230913
16.298632,11,35.268288
15.041195,10,35.302469
16.389018,11,35.336268
17.612732,11,35.374792
14.837967,13,35.414802
14.884126,11,35.44776
17.002974,10,35.477633
16.02209,10,35.508289
21.415638,16,35.557295
14.165481,8,35.5821
16.991529,11,35.617289
15.227773,10,35.648303
17.327222,11,35.682045
15.13496,8,35.707043
18.775838,11,35.741438
14.812009,10,35.772002
21.7784,18,35.828609
15.655531,9,35.856193
12.453695,7,35.877833
19.56847,14,35.927585
23.176795,16,35.976428
15.039281,9,36.005239
20.566656,15,36.051548
18.550945,13,36.091253
19.017378,15,36.137852
14.227395,8,36.161932
23.038073,21,36.227333
15.810364,11,36.261574
14.492015,10,36.292165
18.24081,11,36.326045
16.989586,11,36.36428
20.032399,16,36.41523
16.810521,10,36.45955
16.258167,9,36.490321
17.601202,11,36.528319
16.892661,11,36.561695
16.752674,12,36.598114
15.188897,11,36.632528
16.062659,10,36.663874
17.081175,12,36.701701
15.911127,9,36.729497
16.491529,10,36.760211
16.38385,10,36.790925
19.719503,14,36.833723
18.995831,15,36.878827
16.573322,13,36.917847
20.801843,15,36.969365
14.876436,9,36.996485
17.513336,10,37.026988
21.246685,15,37.072989
22.257758,15,37.120302
14.223281,8,37.145022
17.712224,11,37.178042
18.007995,12,37.215677
19.319817,13,37.2551
18.546828,11,37.28746
15.731479,11,37.32203
20.326982,13,37.361105
19.681712,17,37.418947
19.338083,14,37.460735
14.975995,10,37.492188
18.542303,15,37.537779
13.074651,7,37.560005
18.229576,13,37.598882
22.470972,18,37.654037
18.254432,12,37.690104
15.764401,10,37.721295
17.528567,10,37.752242
18.833434,12,37.78886
17.007071,10,37.820328
21.374566,15,37.866086
18.610739,13,37.906754
17.039092,12,37.942168
14.297984,8,37.976767
21.967498,14,38.01958
18.681667,13,38.058975
17.196491,12,38.095479
16.889924,11,38.131028
14.39368,8,38.158632
16.106449,10,38.193571
16.98734,12,38.23587
16.306821,9,38.268108
13.37564,7,38.292953
17.895188,11,38.328505
17.257991,11,38.369594
14.509522,10,38.406075
15.075039,10,38.437764
16.565784,10,38.467056
15.552339,10,38.497745
17.949875,13,38.537477
16.07978,10,38.567786
17.729725,12,38.603495
17.999674,12,38.640452
15.693584,10,38.671016
14.744118,9,38.697765
17.772792,12,38.73481
20.743711,17,38.785966
17.186121,11,38.819565
21.564443,17,38.872592
18.400456,13,38.912032
